"SN","Train_No","Station_Code","1A","2A","3A","SL","Station_Name","Route_Number","Arrival_time","Departure_Time","Distance"
"23","11123","SWA","2155","1744","1333","922","SAHJANWA","1","05:31:00","05:33:00","411"
"24","11123","KLD","2240","1812","1384","956","KHALILABAD","1","05:50:00","05:52:00","428"
"25","11123","MND","2315","1872","1429","986","MUNDERWA","1","06:06:00","06:08:00","443"
"26","11123","BST","2390","1932","1474","1016","BASTI","1","06:27:00","06:30:00","458"
"27","11123","BV","2540","2052","1564","1076","BABHNAN","1","06:58:00","07:00:00","488"
"28","11123","MSW","2620","2116","1612","1108","MASKANWA","1","07:19:00","07:21:00","504"
"29","11123","MUR","2695","2176","1657","1138","MANKAPUR JN.","1","07:40:00","07:42:00","519"
"30","11123","GD","2830","2284","1738","1192","GONDA JN.","1","08:15:00","08:20:00","546"
"31","11123","CLJ","2970","2396","1822","1248","COLONELGANJ","1","08:43:00","08:45:00","574"
"32","11123","BUW","3130","2524","1918","1312","BURHWAL JN.","1","09:18:00","09:20:00","606"
"33","11123","BBK","3270","2636","2002","1368","BARA BANKI J","1","10:45:00","10:47:00","634"
"34","11123","LKO","3410","2748","2086","1424","LUCKNOW JN.","1","11:45:00","11:55:00","662"
"35","11123","ON","3695","2976","2257","1538","UNNAO JN.","1","12:57:00","12:58:00","719"
"36","11123","CNB","3780","3044","2308","1572","KANPUR CENTR","1","13:35:00","13:45:00","736"
"37","11123","GOY","3805","3064","2323","1582","GOVINDPURI","1","13:58:00","14:00:00","741"
"38","11123","BZM","3855","3104","2353","1602","BHIMSEN","1","14:14:00","14:16:00","751"
"39","11123","PMN","3915","3152","2389","1626","PAMAN","1","14:34:00","14:36:00","763"
"40","11123","LLR","3985","3208","2431","1654","LALPUR","1","14:50:00","14:52:00","777"
"41","11123","PHN","4065","3272","2479","1686","POKHRAYAN","1","15:07:00","15:09:00","793"
"42","11123","ORAI","4300","3460","2620","1780","ORAI","1","15:51:00","15:56:00","840"
"43","11123","AIT","4425","3560","2695","1830","AIT JN","1","16:14:00","16:16:00","865"
"44","11123","MOTH","4595","3696","2797","1898","MOTH","1","16:46:00","16:48:00","899"
"45","11123","CGN","4710","3788","2866","1944","CHIRGAON","1","17:07:00","17:09:00","922"
"46","11123","JHS","4870","3916","2962","2008","JHANSI JN","1","18:30:00","18:55:00","954"
"47","11123","DAA","4995","4016","3037","2058","DATIA","1","19:15:00","19:17:00","979"
"48","11123","DBA","5145","4136","3127","2118","DABRA","1","19:40:00","19:42:00","1009"
"49","11123","GWL","5355","4304","3253","2202","GWALIOR JN","1","20:55:00","20:55:00","1051"
"1","11124","GWL","100","100","100","100","GWALIOR JN","1","11:50:00","11:50:00","0"
"2","11124","DBA","310","268","226","184","DABRA","1","12:25:00","12:27:00","42"
"3","11124","DAA","460","388","316","244","DATIA","1","12:58:00","13:00:00","72"
"4","11124","JHS","585","488","391","294","JHANSI JN","1","13:30:00","13:55:00","97"
"5","11124","CGN","740","612","484","356","CHIRGAON","1","14:20:00","14:22:00","128"
"6","11124","MOTH","860","708","556","404","MOTH","1","14:41:00","14:43:00","152"
"7","11124","AIT","1030","844","658","472","AIT JN","1","15:08:00","15:10:00","186"
"8","11124","ORAI","1150","940","730","520","ORAI","1","15:35:00","15:40:00","210"
"9","11124","KPI","1320","1076","832","588","KALPI","1","16:03:00","16:05:00","244"
"10","11124","PHN","1390","1132","874","616","POKHRAYAN","1","16:23:00","16:25:00","258"
"11","11124","LLR","1465","1192","919","646","LALPUR","1","16:51:00","16:53:00","273"
"12","11124","PMN","1535","1248","961","674","PAMAN","1","17:07:00","17:09:00","287"
"13","11124","BZM","1595","1296","997","698","BHIMSEN","1","17:54:00","17:56:00","299"
"14","11124","GOY","1645","1336","1027","718","GOVINDPURI","1","18:08:00","18:10:00","309"
"15","11124","CNB","1675","1360","1045","730","KANPUR CENTR","1","18:30:00","18:35:00","315"
"16","11124","ON","1760","1428","1096","764","UNNAO JN.","1","18:57:00","18:59:00","332"
"17","11124","LKO","2040","1652","1264","876","LUCKNOW JN.","1","20:15:00","20:25:00","388"
"18","11124","BBK","2185","1768","1351","934","BARA BANKI J","1","21:10:00","21:12:00","417"
"19","11124","BUW","2320","1876","1432","988","BURHWAL JN.","1","21:36:00","21:38:00","444"
"20","11124","CLJ","2485","2008","1531","1054","COLONELGANJ","1","22:06:00","22:08:00","477"
"21","11124","GD","2625","2120","1615","1110","GONDA JN.","1","22:45:00","22:50:00","505"
"22","11124","MUR","2765","2232","1699","1166","MANKAPUR JN.","1","23:14:00","23:16:00","533"
"23","11124","MSW","2840","2292","1744","1196","MASKANWA","1","23:29:00","23:31:00","548"
"24","11124","BV","2920","2356","1792","1228","BABHNAN","1","23:43:00","23:45:00","564"
"25","11124","BST","3070","2476","1882","1288","BASTI","1","00:12:00","00:15:00","594"
"26","11124","MND","3145","2536","1927","1318","MUNDERWA","1","00:29:00","00:31:00","609"
"27","11124","KLD","3220","2596","1972","1348","KHALILABAD","1","00:43:00","00:45:00","624"
"28","11124","GKP","3395","2736","2077","1418","GORAKHPUR JN","1","01:55:00","02:05:00","659"
"29","11124","CC","3515","2832","2149","1466","CHAURI CHAUR","1","02:33:00","02:35:00","683"
"30","11124","GB","3565","2872","2179","1486","GAURI BAZAR","1","02:46:00","02:48:00","693"
"31","11124","DEOS","3640","2932","2224","1516","DEORIA SADAR","1","03:00:00","03:05:00","708"
"32","11124","BTT","3745","3016","2287","1558","BHATNI JN.","1","03:30:00","03:35:00","729"
"33","11124","BHTR","3810","3068","2326","1584","BHATPAR RANI","1","03:45:00","03:47:00","742"
"34","11124","BTK","3850","3100","2350","1600","BANKATA","1","03:57:00","03:59:00","750"
"35","11124","MW","3885","3128","2371","1614","MAIRWA","1","04:21:00","04:23:00","757"
"36","11124","SV","3990","3212","2434","1656","SIWAN JN.","1","05:15:00","05:20:00","778"
"37","11124","DDA","4080","3284","2488","1692","DURAUNDHA JN","1","05:34:00","05:36:00","796"
"38","11124","CPR","4295","3456","2617","1778","CHHAPRA JN.","1","06:50:00","07:05:00","839"
"39","11124","DGA","4445","3576","2707","1838","DIGHWARA","1","07:40:00","07:42:00","869"
"40","11124","SEE","4560","3668","2776","1884","SONPUR JN.","1","08:10:00","08:15:00","892"
"41","11124","HJP","4590","3692","2794","1896","HAJIPUR JN.","1","08:25:00","08:30:00","898"
"42","11124","SAI","4645","3736","2827","1918","SARAI","1","08:46:00","08:48:00","909"
"43","11124","BNR","4690","3772","2854","1936","BHAGWANPUR","1","09:11:00","09:13:00","918"
"44","11124","MFP","4860","3908","2956","2004","MUZAFFARPUR","1","10:30:00","10:35:00","952"
"45","11124","DOL","4985","4008","3031","2054","DHOLI","1","10:59:00","11:01:00","977"
"46","11124","KRBP","5050","4060","3070","2080","KHUDIRAM BOS","1","11:13:00","11:15:00","990"
"47","11124","SPJ","5115","4112","3109","2106","SAMASTIPUR J","1","11:40:00","11:45:00","1003"
"48","11124","DSS","5235","4208","3181","2154","DALSINGH SAR","1","12:05:00","12:07:00","1027"
"49","11124","BJU","5370","4316","3262","2208","BARAUNI JN.","1","13:00:00","13:00:00","1054"
"1","11125","INDB","100","100","100","100","INDORE BG","1","00:00:00","20:05:00","0"
"2","11125","DWX","290","252","214","176","DEWAS","1","20:41:00","20:43:00","38"
"3","11125","UJN","490","412","334","256","UJJAIN JN","1","21:45:00","22:10:00","78"
"4","11125","MKC","695","576","457","338","MAKSI JN","1","23:15:00","23:17:00","119"
"5","11125","SFY","835","688","541","394","SHAJAPUR","1","23:33:00","23:35:00","147"
"6","11125","BRRG","1280","1044","808","572","BIYAVRA RAJG","1","00:48:00","00:50:00","236"
"7","11125","RTA","1665","1352","1039","726","RUTHIYAI JN","1","02:15:00","02:18:00","313"
"8","11125","GUNA","1765","1432","1099","766","GUNA","1","03:00:00","03:10:00","333"
"9","11125","BDWS","2015","1632","1249","866","BADARWAS","1","03:53:00","03:55:00","383"
"10","11125","SVPI","2275","1840","1405","970","SHIVPURI","1","04:45:00","04:50:00","435"
"11","11125","GWL","2905","2344","1783","1222","GWALIOR JN","1","07:47:00","00:00:00","561"
"1","11126","GWL","100","100","100","100","GWALIOR JN","1","00:00:00","19:30:00","0"
"2","11126","SVPI","725","600","475","350","SHIVPURI","1","21:33:00","21:38:00","125"
"3","11126","BDWS","985","808","631","454","BADARWAS","1","22:53:00","22:55:00","177"
"4","11126","GUNA","1235","1008","781","554","GUNA","1","00:45:00","00:55:00","227"
"5","11126","RTA","1335","1088","841","594","RUTHIYAI JN","1","01:25:00","01:30:00","247"
"6","11126","BRRG","1720","1396","1072","748","BIYAVRA RAJG","1","02:43:00","02:45:00","324"
"7","11126","SFY","2165","1752","1339","926","SHAJAPUR","1","03:58:00","04:00:00","413"
"8","11126","MKC","2305","1864","1423","982","MAKSI JN","1","05:00:00","05:02:00","441"
"9","11126","UJN","2510","2028","1546","1064","UJJAIN JN","1","05:45:00","06:05:00","482"
"10","11126","DWX","2710","2188","1666","1144","DEWAS","1","06:39:00","06:41:00","522"
"11","11126","INDB","2905","2344","1783","1222","INDORE BG","1","07:55:00","00:00:00","561"
"1","11201","LTT","100","100","100","100","LOKMANYA TIL","1","16:40:00","16:40:00","0"
"2","11201","TNA","185","168","151","134","THANE","1","16:58:00","17:00:00","17"
"3","11201","KYN","285","248","211","174","KALYAN JN","1","17:17:00","17:20:00","37"
"4","11201","IGP","700","580","460","340","IGATPURI","1","19:50:00","19:55:00","120"
"5","11201","DVL","925","760","595","430","DEVLALI","1","20:33:00","20:35:00","165"
"6","11201","NK","955","784","613","442","NASIK ROAD","1","20:40:00","20:45:00","171"
"7","11201","MMR","1320","1076","832","588","MANMAD JN.","1","22:10:00","22:15:00","244"
"8","11201","RGO","1555","1264","973","682","ROTEGAON","1","22:49:00","22:50:00","291"
"9","11201","LSR","1695","1376","1057","738","LASUR","1","23:09:00","23:10:00","319"
"10","11201","AWB","1860","1508","1156","804","AURANGABAD","1","00:25:00","00:30:00","352"
"11","11201","J","2175","1760","1345","930","JALNA","1","01:30:00","01:32:00","415"
"12","11201","PTU","2400","1940","1480","1020","PARTUR","1","01:59:00","02:00:00","460"
"13","11201","SELU","2535","2048","1561","1074","SELU","1","02:29:00","02:30:00","487"
"14","11201","PBN","2745","2216","1687","1158","PARBHANI JN.","1","04:00:00","04:02:00","529"
"15","11201","PAU","2890","2332","1774","1216","PURNA  JN.","1","05:05:00","05:10:00","558"
"16","11201","BMF","3000","2420","1840","1260","BASMAT","1","05:34:00","05:35:00","580"
"17","11201","HNL","3290","2652","2014","1376","HINGOLI(DECC","1","06:19:00","06:20:00","638"
"18","11201","WHM","3530","2844","2158","1472","WASHIM","1","07:19:00","07:20:00","686"
"19","11201","AK","3925","3160","2395","1630","AKOLA JN.","1","09:15:00","09:25:00","765"
"20","11201","MZR","4115","3312","2509","1706","MURTAJAPUR J","1","09:58:00","10:00:00","803"
"21","11201","BD","4320","3476","2632","1788","BADNERA JN.","1","10:50:00","10:55:00","844"
"22","11201","CND","4465","3592","2719","1846","CHANDUR","1","11:25:00","11:27:00","873"
"23","11201","DMN","4545","3656","2767","1878","DHAMANGAON","1","11:40:00","11:42:00","889"
"24","11201","PLO","4645","3736","2827","1918","PULGAON JN.","1","11:57:00","11:59:00","909"
"25","11201","WR","4795","3856","2917","1978","WARDHA JN.","1","12:32:00","12:35:00","939"
"26","11201","AJNI","5175","4160","3145","2130","AJNI","1","14:15:00","14:15:00","1015"
"1","11202","AJNI","100","100","100","100","AJNI","1","16:15:00","16:15:00","0"
"2","11202","WR","475","400","325","250","WARDHA JN.","1","17:10:00","17:13:00","75"
"3","11202","PLO","625","520","415","310","PULGAON JN.","1","17:36:00","17:38:00","105"
"4","11202","DMN","725","600","475","350","DHAMANGAON","1","18:05:00","18:07:00","125"
"5","11202","CND","810","668","526","384","CHANDUR","1","18:22:00","18:24:00","142"
"6","11202","BD","955","784","613","442","BADNERA JN.","1","19:30:00","19:35:00","171"
"7","11202","MZR","1160","948","736","524","MURTAJAPUR J","1","20:08:00","20:10:00","212"
"8","11202","AK","1350","1100","850","600","AKOLA JN.","1","21:25:00","21:35:00","250"
"9","11202","WHM","1740","1412","1084","756","WASHIM","1","22:49:00","22:50:00","328"
"10","11202","HNL","1980","1604","1228","852","HINGOLI(DECC","1","23:39:00","23:40:00","376"
"11","11202","BMF","2270","1836","1402","968","BASMAT","1","00:39:00","00:40:00","434"
"12","11202","PAU","2380","1924","1468","1012","PURNA  JN.","1","01:20:00","01:30:00","456"
"13","11202","PBN","2525","2040","1555","1070","PARBHANI JN.","1","02:30:00","02:32:00","485"
"14","11202","SELU","2735","2208","1681","1154","SELU","1","03:29:00","03:30:00","527"
"15","11202","PTU","2875","2320","1765","1210","PARTUR","1","04:04:00","04:05:00","555"
"16","11202","J","3100","2500","1900","1300","JALNA","1","04:58:00","05:00:00","600"
"17","11202","AWB","3410","2748","2086","1424","AURANGABAD","1","06:25:00","06:30:00","662"
"18","11202","LSR","3580","2884","2188","1492","LASUR","1","06:54:00","06:55:00","696"
"19","11202","RGO","3715","2992","2269","1546","ROTEGAON","1","07:19:00","07:20:00","723"
"20","11202","MMR","3955","3184","2413","1642","MANMAD JN.","1","08:45:00","08:50:00","771"
"21","11202","NK","4320","3476","2632","1788","NASIK ROAD","1","09:45:00","09:50:00","844"
"22","11202","DVL","4345","3496","2647","1798","DEVLALI","1","09:58:00","10:00:00","849"
"23","11202","IGP","4570","3676","2782","1888","IGATPURI","1","11:05:00","11:10:00","894"
"24","11202","KYN","4985","4008","3031","2054","KALYAN JN","1","12:37:00","12:40:00","977"
"25","11202","TNA","5090","4092","3094","2096","THANE","1","13:03:00","13:05:00","998"
"26","11202","LTT","5175","4160","3145","2130","LOKMANYA TIL","1","13:45:00","13:45:00","1015"
"1","11203","NGP","100","100","100","100","NAGPUR JN.(C","1","11:55:00","11:55:00","0"
"2","11203","KATL","400","340","280","220","KATOL","1","12:41:00","12:43:00","60"
"3","11203","NRKR","525","440","355","270","NARKHER","1","13:03:00","13:05:00","85"
"4","11203","PAR","615","512","409","306","PANDHURNA","1","13:22:00","13:24:00","103"
"5","11203","MTY","820","676","532","388","MULTAI","1","14:10:00","14:12:00","144"
"6","11203","BZU","1050","860","670","480","BETUL","1","14:52:00","14:55:00","190"
"7","11203","ET","1585","1288","991","694","ITARSI","1","16:45:00","16:55:00","297"
"8","11203","HBJ","2010","1628","1246","864","HABIBGANJ","1","18:13:00","18:15:00","382"
"9","11203","BPL","2040","1652","1264","876","BHOPAL","1","18:55:00","19:05:00","388"
"10","11203","SEH","2235","1808","1381","954","SEHORE","1","19:51:00","19:53:00","427"
"11","11203","SJP","2445","1976","1507","1038","SHUJALPUR","1","20:38:00","20:40:00","469"
"12","11203","BCH","2660","2148","1636","1124","BERCHHA","1","21:27:00","21:29:00","512"
"13","11203","UJN","2960","2388","1816","1244","UJJAIN JN","1","23:05:00","23:10:00","572"
"14","11203","NAD","3235","2608","1981","1354","NAGDA JN","1","01:05:00","01:30:00","627"
"15","11203","RMA","3975","3200","2425","1650","RAMGANJ MAND","1","03:11:00","03:13:00","775"
"16","11203","KOTA","4340","3492","2644","1796","KOTA","1","04:25:00","04:30:00","848"
"17","11203","BUDI","4525","3640","2755","1870","BUNDI","1","05:10:00","05:12:00","885"
"18","11203","MLGH","4870","3916","2962","2008","MANDALGARH","1","06:14:00","06:16:00","954"
"19","11203","COR","5195","4176","3157","2138","CHITTAURGARH","1","08:05:00","08:35:00","1019"
"20","11203","BHL","5465","4392","3319","2246","BHILWARA","1","09:25:00","09:30:00","1073"
"21","11203","BJNR","5800","4660","3520","2380","BIJAINAGAR","1","10:28:00","10:30:00","1140"
"22","11203","NSD","6010","4828","3646","2464","NASIRABAD","1","11:04:00","11:06:00","1182"
"23","11203","AII","6125","4920","3715","2510","AJMER JN.","1","11:45:00","11:55:00","1205"
"24","11203","KSG","6270","5036","3802","2568","KISHANGARH","1","12:21:00","12:23:00","1234"
"25","11203","FL","6525","5240","3955","2670","PHULERA JN.","1","13:02:00","13:04:00","1285"
"26","11203","JOB","6615","5312","4009","2706","ASAIPUR JOBN","1","13:18:00","13:20:00","1303"
"27","11203","KKU","6755","5424","4093","2762","KANAKPURA","1","13:41:00","13:43:00","1331"
"28","11203","JP","6800","5460","4120","2780","JAIPUR JN.","1","14:05:00","14:05:00","1340"
"1","11204","JP","100","100","100","100","JAIPUR JN.","1","16:30:00","16:30:00","0"
"2","11204","KKU","140","132","124","116","KANAKPURA","1","16:39:00","16:41:00","8"
"3","11204","JOB","280","244","208","172","ASAIPUR JOBN","1","17:01:00","17:03:00","36"
"4","11204","FL","370","316","262","208","PHULERA JN.","1","17:20:00","17:22:00","54"
"5","11204","KSG","625","520","415","310","KISHANGARH","1","17:58:00","18:01:00","105"
"6","11204","AII","770","636","502","368","AJMER JN.","1","19:00:00","19:25:00","134"
"7","11204","NSD","885","728","571","414","NASIRABAD","1","19:47:00","19:49:00","157"
"8","11204","BJNR","1095","896","697","498","BIJAINAGAR","1","20:21:00","20:23:00","199"
"9","11204","BHL","1430","1164","898","632","BHILWARA","1","21:30:00","21:35:00","266"
"10","11204","COR","1700","1380","1060","740","CHITTAURGARH","1","23:00:00","23:20:00","320"
"11","11204","MLGH","2030","1644","1258","872","MANDALGARH","1","00:18:00","00:20:00","386"
"12","11204","BUDI","2370","1916","1462","1008","BUNDI","1","01:14:00","01:15:00","454"
"13","11204","KOTA","2560","2068","1576","1084","KOTA","1","02:30:00","02:40:00","492"
"14","11204","RMA","2920","2356","1792","1228","RAMGANJ MAND","1","03:40:00","03:42:00","564"
"15","11204","NAD","3660","2948","2236","1524","NAGDA JN","1","06:20:00","06:50:00","712"
"16","11204","UJN","3935","3168","2401","1634","UJJAIN JN","1","07:50:00","07:55:00","767"
"17","11204","BCH","4240","3412","2584","1756","BERCHHA","1","08:48:00","08:50:00","828"
"18","11204","SJP","4455","3584","2713","1842","SHUJALPUR","1","09:36:00","09:38:00","871"
"19","11204","SEH","4660","3748","2836","1924","SEHORE","1","10:11:00","10:13:00","912"
"20","11204","BPL","4855","3904","2953","2002","BHOPAL","1","11:35:00","11:40:00","951"
"21","11204","HBJ","4885","3928","2971","2014","HABIBGANJ","1","11:50:00","11:52:00","957"
"22","11204","ET","5310","4268","3226","2184","ITARSI","1","13:35:00","13:45:00","1042"
"23","11204","BZU","5845","4696","3547","2398","BETUL","1","15:38:00","15:39:00","1149"
"24","11204","MTY","6075","4880","3685","2490","MULTAI","1","16:19:00","16:21:00","1195"
"25","11204","PAR","6280","5044","3808","2572","PANDHURNA","1","17:07:00","17:09:00","1236"
"26","11204","NRKR","6370","5116","3862","2608","NARKHER","1","17:24:00","17:26:00","1254"
"27","11204","KATL","6495","5216","3937","2658","KATOL","1","17:46:00","17:48:00","1279"
"28","11204","NGP","6800","5460","4120","2780","NAGPUR JN.(C","1","19:15:00","19:15:00","1340"
"1","11205","LTT","100","100","100","100","LOKMANYA TIL","1","16:40:00","16:40:00","0"
"2","11205","KYN","285","248","211","174","KALYAN JN","1","17:17:00","17:20:00","37"
"3","11205","IGP","700","580","460","340","IGATPURI","1","19:50:00","19:55:00","120"
"4","11205","DVL","925","760","595","430","DEVLALI","1","20:33:00","20:35:00","165"
"5","11205","NK","955","784","613","442","NASIK ROAD","1","20:40:00","20:45:00","171"
"6","11205","MMR","1320","1076","832","588","MANMAD JN.","1","22:10:00","22:15:00","244"
"7","11205","RGO","1555","1264","973","682","ROTEGAON","1","22:49:00","22:50:00","291"
"8","11205","LSR","1695","1376","1057","738","LASUR","1","23:09:00","23:10:00","319"
"9","11205","AWB","1860","1508","1156","804","AURANGABAD","1","00:25:00","00:30:00","352"
"10","11205","J","2175","1760","1345","930","JALNA","1","01:30:00","01:32:00","415"
"11","11205","PTU","2400","1940","1480","1020","PARTUR","1","01:59:00","02:00:00","460"
"12","11205","SELU","2535","2048","1561","1074","SELU","1","02:29:00","02:30:00","487"
"13","11205","PBN","2745","2216","1687","1158","PARBHANI JN.","1","04:00:00","04:02:00","529"
"14","11205","PAU","2890","2332","1774","1216","PURNA  JN.","1","05:05:00","05:10:00","558"
"15","11205","NED","3040","2452","1864","1276","NANDED","1","05:40:00","05:45:00","588"
"16","11205","MUE","3155","2544","1933","1322","MUDKHED JN.","1","06:33:00","06:35:00","611"
"17","11205","UMRI","3250","2620","1990","1360","UMRI","1","06:59:00","07:00:00","630"
"18","11205","DAB","3400","2740","2080","1420","DHARMABAD","1","07:27:00","07:28:00","660"
"19","11205","BSX","3450","2780","2110","1440","BASAR","1","07:39:00","07:40:00","670"
"20","11205","NZB","3595","2896","2197","1498","NIZAMABAD","1","09:15:00","09:15:00","699"
"1","11206","NZB","100","100","100","100","NIZAMABAD","1","23:15:00","23:15:00","0"
"2","11206","BSX","245","216","187","158","BASAR","1","23:45:00","23:46:00","29"
"3","11206","DAB","295","256","217","178","DHARMABAD","1","23:55:00","23:56:00","39"
"4","11206","UMRI","440","372","304","236","UMRI","1","00:29:00","00:30:00","68"
"5","11206","MUE","540","452","364","276","MUDKHED JN.","1","01:00:00","01:02:00","88"
"6","11206","NED","650","540","430","320","NANDED","1","01:25:00","01:30:00","110"
"7","11206","PAU","805","664","523","382","PURNA  JN.","1","02:23:00","02:25:00","141"
"8","11206","PBN","945","776","607","438","PARBHANI JN.","1","03:13:00","03:15:00","169"
"9","11206","SELU","1160","948","736","524","SELU","1","03:46:00","03:47:00","212"
"10","11206","PTU","1295","1056","817","578","PARTUR","1","04:04:00","04:05:00","239"
"11","11206","J","1520","1236","952","668","JALNA","1","04:58:00","05:00:00","284"
"12","11206","AWB","1835","1488","1141","794","AURANGABAD","1","06:25:00","06:30:00","347"
"13","11206","LSR","2000","1620","1240","860","LASUR","1","06:54:00","06:55:00","380"
"14","11206","RGO","2135","1728","1321","914","ROTEGAON","1","07:19:00","07:20:00","407"
"15","11206","MMR","2375","1920","1465","1010","MANMAD JN.","1","08:45:00","08:50:00","455"
"16","11206","NK","2740","2212","1684","1156","NASIK ROAD","1","09:45:00","09:50:00","528"
"17","11206","DVL","2770","2236","1702","1168","DEVLALI","1","09:58:00","10:00:00","534"
"18","11206","IGP","2990","2412","1834","1256","IGATPURI","1","11:05:00","11:10:00","578"
"19","11206","KYN","3410","2748","2086","1424","KALYAN JN","1","12:37:00","12:40:00","662"
"20","11206","LTT","3595","2896","2197","1498","LOKMANYA TIL","1","13:45:00","13:45:00","699"
"1","11265","JBP","100","100","100","100","JABALPUR","1","14:00:00","14:00:00","0"
"2","11265","SHR","290","252","214","176","SIHORAROAD","1","14:28:00","14:30:00","38"
"3","11265","KTES","545","456","367","278","KATNI SOUTH","1","15:15:00","15:20:00","89"
"4","11265","UMR","850","700","550","400","UMARIA","1","16:49:00","16:51:00","150"
"5","11265","BRS","1000","820","640","460","BIRSINGHPUR","1","17:13:00","17:15:00","180"
"6","11265","SDL","1185","968","751","534","SHAHDOL","1","18:05:00","18:15:00","217"
"7","11265","BUH","1285","1048","811","574","BURHAR","1","18:33:00","18:35:00","237"
"8","11265","APR","1390","1132","874","616","ANUPPUR JN.","1","19:00:00","19:05:00","258"
"9","11265","KTMA","1550","1260","970","680","KOTMA","1","19:32:00","19:34:00","290"
"10","11265","BJRI","1630","1324","1018","712","BIJURI","1","19:56:00","20:01:00","306"
"11","11265","BRH","1885","1528","1171","814","BAIKUNTHPUR","1","20:54:00","20:56:00","357"
"12","11265","KTO","1970","1596","1222","848","KATORA","1","21:10:00","21:12:00","374"
"13","11265","BSPR","2165","1752","1339","926","BISHRAMPUR","1","22:08:00","22:10:00","413"
"14","11265","ABKP","2260","1828","1396","964","AMBIKAPUR","1","23:00:00","23:00:00","432"
"1","11266","ABKP","100","100","100","100","AMBIKAPUR","1","06:15:00","06:15:00","0"
"2","11266","BSPR","195","176","157","138","BISHRAMPUR","1","06:32:00","06:34:00","19"
"3","11266","KTO","390","332","274","216","KATORA","1","07:04:00","07:06:00","58"
"4","11266","BRH","475","400","325","250","BAIKUNTHPUR","1","07:24:00","07:26:00","75"
"5","11266","BJRI","735","608","481","354","BIJURI","1","08:30:00","08:35:00","127"
"6","11266","KTMA","810","668","526","384","KOTMA","1","08:48:00","08:50:00","142"
"7","11266","APR","970","796","622","448","ANUPPUR JN.","1","09:25:00","09:30:00","174"
"8","11266","BUH","1075","880","685","490","BURHAR","1","09:47:00","09:49:00","195"
"9","11266","SDL","1175","960","745","530","SHAHDOL","1","10:15:00","10:25:00","215"
"10","11266","BRS","1365","1112","859","606","BIRSINGHPUR","1","11:00:00","11:01:00","253"
"11","11266","UMR","1515","1232","949","666","UMARIA","1","11:27:00","11:29:00","283"
"12","11266","KTES","1820","1476","1132","788","KATNI SOUTH","1","13:10:00","13:15:00","344"
"13","11266","SHR","2075","1680","1285","890","SIHORAROAD","1","13:53:00","13:55:00","395"
"14","11266","JBP","2270","1836","1402","968","JABALPUR","1","14:55:00","14:55:00","434"
"1","11272","BPL","100","100","100","100","BHOPAL","1","18:15:00","18:15:00","0"
"2","11272","SMT","280","244","208","172","SALAMATPUR","1","18:42:00","18:44:00","36"
"3","11272","SCI","320","276","232","188","SANCHI","1","18:51:00","18:52:00","44"
"4","11272","BHS","365","312","259","206","VIDISHA","1","19:02:00","19:04:00","53"
"5","11272","GLG","470","396","322","248","GULABGANJ","1","19:22:00","19:24:00","74"
"6","11272","BAQ","560","468","376","284","GANJ BASODA","1","19:39:00","19:41:00","92"
"7","11272","BET","610","508","406","304","BARETH","1","19:52:00","19:53:00","102"
"8","11272","KAH","660","548","436","324","KALHAR","1","20:03:00","20:04:00","112"
"9","11272","MABA","705","584","463","342","MANDI BAMORA","1","20:13:00","20:15:00","121"
"10","11272","BINA","790","652","514","376","BINA","1","20:50:00","21:00:00","138"
"11","11272","KYE","900","740","580","420","KHURAI","1","21:33:00","21:35:00","160"
"12","11272","JRK","990","812","634","456","JERUWAKHERA","1","21:52:00","21:54:00","178"
"13","11272","NOI","1070","876","682","488","NARIAOLI","1","22:06:00","22:08:00","194"
"14","11272","SGO","1165","952","739","526","SAUGOR","1","22:30:00","22:40:00","213"
"15","11272","MKRN","1200","980","760","540","MAKRONIA","1","22:54:00","22:56:00","220"
"16","11272","GAJ","1350","1100","850","600","GANESHGANJ","1","23:21:00","23:23:00","250"
"17","11272","PHA","1415","1152","889","626","PATHARIA","1","23:34:00","23:36:00","263"
"18","11272","DMO","1550","1260","970","680","DAMOH","1","00:08:00","00:10:00","290"
"19","11272","BNU","1625","1320","1015","710","BANDAKPUR","1","00:28:00","00:30:00","305"
"20","11272","SYA","1855","1504","1153","802","SALAIA","1","01:08:00","01:10:00","351"
"21","11272","REI","1945","1576","1207","838","RITHI","1","01:36:00","01:38:00","369"
"22","11272","KTE","2105","1704","1303","902","KATNI","1","03:50:00","04:25:00","401"
"23","11272","SBD","2245","1816","1387","958","SLEEMNABAD","1","04:46:00","04:48:00","429"
"24","11272","SHR","2370","1916","1462","1008","SIHORAROAD","1","05:28:00","05:30:00","454"
"25","11272","GSPR","2425","1960","1495","1030","GOSALPUR","1","05:38:00","05:40:00","465"
"26","11272","DOE","2475","2000","1525","1050","DEORI","1","05:48:00","05:50:00","475"
"27","11272","JBP","2560","2068","1576","1084","JABALPUR","1","06:15:00","06:20:00","492"
"28","11272","MML","2575","2080","1585","1090","MADANMAHAL","1","06:28:00","06:30:00","495"
"29","11272","BRGT","2645","2136","1627","1118","BHERAGHAT","1","06:42:00","06:44:00","509"
"30","11272","BHTN","2710","2188","1666","1144","BHITONI","1","06:53:00","06:55:00","522"
"31","11272","BMR","2765","2232","1699","1166","BIKRAMPUR","1","07:08:00","07:10:00","533"
